word_length,difficulty,word,win-or-loss
5,easy,lying,loss
5,easy,shelf,loss
3,easy,rug,loss
7,easy,include,win-4
5,easy,there,loss
5,easy,meant,win-5
5,easy,judge,loss
5,easy,those,win-4
5,easy,prior,loss
5,easy,crowd,win-4
5,easy,angry,win-1
5,easy,level,win-6
5,easy,drink,win-1
5,easy,virus,win-2
5,easy,horse,win-2
5,easy,truly,win-2
5,easy,print,win-1
5,easy,acute,win-1
5,easy,judge,win-1
5,easy,heavy,win-1
5,easy,money,win-1
5,easy,blame,win-1
5,easy,spend,win-1
5,easy,clean,win-1
5,easy,blood,win-1
5,easy,party,win-1
5,easy,cover,win-2
5,easy,whole,win-1
5,easy,reach,win-1
5,easy,river,win-1
5,easy,below,win-1
5,easy,spent,win-1
5,easy,admit,win-1
5,easy,chase,win-1
5,easy,urban,win-1
5,easy,waste,win-1
5,easy,drill,win-2
5,easy,march,win-5
5,easy,booth,win-6
5,easy,close,win-3
5,easy,watch,win-3
5,easy,truth,win-4
5,easy,stick,win-1
5,easy,built,win-1
5,easy,grade,win-1
5,easy,stick,win-1
5,easy,alert,win-1
5,easy,coach,win-5
5,easy,ratio,win-3
5,easy,least,loss
5,easy,cream,win-1
5,easy,elite,win-2
5,easy,dated,win-2
5,easy,movie,win-4
5,easy,model,win-3
5,easy,virus,win-4
8,easy,minimize,loss
5,easy,train,win-5
5,easy,fifth,loss
5,easy,album,loss
5,easy,blood,loss
